Jaquar: 4859 candidate URLs to check (retry pass)
...250/4859 checked, 248 products so far, 0 non-product pages skipped
...500/4859 checked, 498 products so far, 0 non-product pages skipped
...750/4859 checked, 748 products so far, 0 non-product pages skipped
...1000/4859 checked, 990 products so far, 0 non-product pages skipped
...1250/4859 checked, 1224 products so far, 11 non-product pages skipped
...1500/4859 checked, 1466 products so far, 19 non-product pages skipped
...1750/4859 checked, 1716 products so far, 19 non-product pages skipped
...2000/4859 checked, 1965 products so far, 19 non-product pages skipped
...2250/4859 checked, 2215 products so far, 19 non-product pages skipped
...2500/4859 checked, 2452 products so far, 19 non-product pages skipped
...2750/4859 checked, 2701 products so far, 19 non-product pages skipped
...3000/4859 checked, 2951 products so far, 19 non-product pages skipped
...3250/4859 checked, 3201 products so far, 19 non-product pages skipped
