Product,Brand,SKU,Category,Old Image,New Image,Recovery Source,Recovery Confidence,Final Visibility
"2 Way Bib Cock","Artize","2-WAY-BIB-COCK-45041","Bath Fittings","https://www.artize.com/in/image/catalog/2025/LEB-CHR-45041.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-way-bib-cock-45041/1789286163420-2-way-bib-cock-45041.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2 Way Bib Cock","Artize","2-WAY-BIB-COCK-41041","Bath Fittings","https://www.artize.com/in/image/catalog/2026/SIG-CHR-41041.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-way-bib-cock-41041/1789286165799-2-way-bib-cock-41041.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2 Way Bib Cock","Artize","2-WAY-BIB-COCK-47041","Bath Fittings","https://www.artize.com/in/image/catalog/2026/CEL-CHR-47041.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-way-bib-cock-47041/1789286158754-2-way-bib-cock-47041.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2 Way Bib Cock","Artize","2-WAY-BIB-1","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517041.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-way-bib-1/1789286285928-2-way-bib-1.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2 Way Bib Cock","Artize","2-WAY-BIB-COCK","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/KAV-CHR-49041.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-way-bib-cock/1789286153117-2-way-bib-cock.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2 Way Bib Cock with Wall Flange","Artize","2-WAY-BIB-COCK-WITH-WALL-FLANGE","Bath Fittings","https://www.artize.com/in/image/catalog/2026/Aris-Aura/AUR-CHR-519041.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-way-bib-cock-with-wall-flange/1789286288710-2-way-bib-cock-with-wall-flange.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2 way bib cock","Artize","2-WAY-BIB-COCK-VIC-CHR-503041","Bath Fittings","https://www.artize.com/in/image/catalog/2022/VIC/VIC-CHR-503041.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-way-bib-cock-vic-chr-503041/1789286170793-2-way-bib-cock-vic-chr-503041.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2-Hole Basin Mixer","Artize","2-HOLE-BASIN-MIXER-NAV-CHR-515187ERS","Faucets","https://www.artize.com/in/image/catalog/2026/NAV-CHR-515187ERS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-hole-basin-mixer-nav-chr-515187ers/1789285924531-2-hole-basin-mixer-nav-chr-515187ers.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2-Hole Basin Mixer","Artize","2-HOLE-BASIN-MIXER-NAV-CHR-515187CS","Faucets","https://www.artize.com/in/image/catalog/2026/NAV-CHR-515187CS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-hole-basin-mixer-nav-chr-515187cs/1789285923133-2-hole-basin-mixer-nav-chr-515187cs.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2-Hole Basin Mixer","Artize","2-HOLE-BASIN-MIXER-NAV-CHR-515187RS","Faucets","https://www.artize.com/in/image/catalog/2026/NAV-CHR-515187RS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-hole-basin-mixer-nav-chr-515187rs/1789285923245-2-hole-basin-mixer-nav-chr-515187rs.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2-Hole Deck Mounted Joystick Basin Mixer","Artize","2-HOLE-DECK-MOUNTED-JOYSTICK-BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/2025/LEX-CHR-67187.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-hole-deck-mounted-joystick-basin-mixer/1789285925215-2-hole-deck-mounted-joystick-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"2-Hole Deck Mounted Single Lever Basin Mixer","Artize","2-HOLE-DECK-MOUNTED-SINGLE-LEVER-BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/AUR-CHR-519187RS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/2-hole-deck-mounted-single-lever-basin-mixer/1789285925301-2-hole-deck-mounted-single-lever-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"3 - Hole Basin Mixer","Artize","3---HOLE-BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/AUR-CHR-519189.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/3-hole-basin-mixer/1789286214767-3-hole-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"3 - Hole Basin Mixer","Artize","3-HOLE-BASIN-MIXER","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/CEL-CHR-47189.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/3-hole-basin-mixer/1789285930779-3-hole-basin-mixer.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"3 - Hole Basin Mixer","Artize","3-HOLE-BASIN-MIXER-CEL-CHR-47189","Faucets","https://www.artize.com/in/image/catalog/2022/VIC/VIC-CHR-503189.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/3-hole-basin-mixer-cel-chr-47189/1789285930083-3-hole-basin-mixer-cel-chr-47189.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"3 Hole Basin Mixer","Artize","3-HOLE-BASIN-1","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/ASI-CHR-517189.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/3-hole-basin-1/1789286173582-3-hole-basin-1.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"3-Hole Basin Mixer","Artize","3-HOLE-BASIN-MIXER-NAV-CHR-515189RS","Faucets","https://www.artize.com/in/image/catalog/2026/NAV-CHR-515189RS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/3-hole-basin-mixer-nav-chr-515189rs/1789285932245-3-hole-basin-mixer-nav-chr-515189rs.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"3-Hole Basin Mixer","Artize","3-HOLE-BASIN-MIXER-NAV-CHR-515189ERS","Faucets","https://www.artize.com/in/image/catalog/2024/navia/NAV-CHR-515189ERS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/3-hole-basin-mixer-nav-chr-515189ers/1789285932202-3-hole-basin-mixer-nav-chr-515189ers.jpg","Existing S3 Asset","EXACT","PUBLISHED"
"3-Hole Basin Mixer","Artize","3-HOLE-BASIN-MIXER-NAV-CHR-515189CS","Faucets","https://www.artize.com/in/image/catalog/2026/Aris-Aura/NewFolder/NAV-CHR-515189CS.jpg","https://your-prestige-in.s3.ap-south-1.amazonaws.com/prestige/catalog/artize/3-hole-basin-mixer-nav-chr-515189cs/1789285930966-3-hole-basin-mixer-nav-chr-515189cs.jpg","Existing S3 Asset","EXACT","PUBLISHED"
